plantedtiming,location,year,plot,block,Term.Win,cc termination,herbicide,date,ccbiogm2,ccbiokgha,DateHarvested,Yield(bu/ac),yield kgha,
lateplanted,top,2023,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,204,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,206,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,301,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,302,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,303,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,304,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,305,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,306,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,404,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,204,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,206,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,301,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,302,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,303,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,304,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,305,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,306,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,404,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,204,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,206,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,301,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,302,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,303,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,304,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,305,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,306,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,404,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,204,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,206,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,301,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,302,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,303,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,304,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,305,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,306,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,404,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,204,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,206,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,301,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,302,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,303,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,304,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,top,2023,305,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,306,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,top,2023,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,top,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,top,2023,404,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,top,2023,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,top,2023,406,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,101,1,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,44.14,2968,
earlyplanted,bottom,2023,102,1,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,58.03,3903,
earlyplanted,bottom,2023,103,1,21DAP,14DPP,Ctl,4/24/2023,150,1500,16-Nov,51.27,3448,
earlyplanted,bottom,2023,104,1,21DAP,14DPP,Residual,4/24/2023,207,2070,16-Nov,50.39,3389,
earlyplanted,bottom,2023,105,1,21DAP,1DAP,Ctl,4/24/2023,77,770,16-Nov,44.42,2987,
earlyplanted,bottom,2023,106,1,21DAP,1DAP,Residual,4/24/2023,80,800,16-Nov,45.67,3071,
earlyplanted,bottom,2023,201,2,21DAP,1DAP,Ctl,4/24/2023,91,910,16-Nov,58.93,3963,
earlyplanted,bottom,2023,202,2,21DAP,1DAP,Residual,4/24/2023,112,1120,16-Nov,49.2,3309,
earlyplanted,bottom,2023,203,2,21DAP,14DPP,Ctl,4/24/2023,164,1640,16-Nov,55.45,3729,
earlyplanted,bottom,2023,204,2,21DAP,14DPP,Residual,4/24/2023,117,1170,16-Nov,51.75,3480,
earlyplanted,bottom,2023,205,2,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,50.82,3418,
earlyplanted,bottom,2023,206,2,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,51.4,3457,
earlyplanted,bottom,2023,301,3,21DAP,14DPP,Ctl,4/24/2023,74,740,16-Nov,61.72,4151,
earlyplanted,bottom,2023,302,3,21DAP,14DPP,Residual,4/24/2023,14,140,16-Nov,56.66,3810,
earlyplanted,bottom,2023,303,3,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,54.83,3687,
earlyplanted,bottom,2023,304,3,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,53.71,3612,
earlyplanted,bottom,2023,305,3,21DAP,1DAP,Ctl,4/24/2023,83,830,16-Nov,49.54,3332,
earlyplanted,bottom,2023,306,3,21DAP,1DAP,Residual,4/24/2023,57,570,16-Nov,58.03,3903,
earlyplanted,bottom,2023,401,4,21DAP,1DAP,Ctl,4/24/2023,170,1700,16-Nov,60.99,4102,
earlyplanted,bottom,2023,402,4,21DAP,1DAP,Residual,4/24/2023,199,1990,16-Nov,58.08,3906,
earlyplanted,bottom,2023,403,4,21DAP,14DPP,Ctl,4/24/2023,65,650,16-Nov,62.15,4180,
earlyplanted,bottom,2023,404,4,21DAP,14DPP,Residual,4/24/2023,101,1010,16-Nov,56.36,3790,
earlyplanted,bottom,2023,405,4,21DAP,NoCC,Ctl,4/24/2023,,,16-Nov,52.17,3508,
earlyplanted,bottom,2023,406,4,21DAP,NoCC,Residual,4/24/2023,,,16-Nov,55.28,3718,
earlyplanted,bottom,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,301,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,302,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,303,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,304,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,305,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,306,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,401,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,402,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,404,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,301,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,302,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,303,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,304,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,305,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,306,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,401,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,402,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,404,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,301,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,302,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,303,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,304,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,305,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,306,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,401,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,402,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,404,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,301,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,302,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,303,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,304,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,305,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,306,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,401,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,402,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,404,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,406,4,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,101,1,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,102,1,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,103,1,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,104,1,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,105,1,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,106,1,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,201,2,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,202,2,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,203,2,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,204,2,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,205,2,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,206,2,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,301,3,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,302,3,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,303,3,21DAP,NoCC,Residual,,,,,,,
earlyplanted,bottom,2023,304,3,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,305,3,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,306,3,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,401,4,21DAP,1DAP,Ctl,,,,,,,
earlyplanted,bottom,2023,402,4,21DAP,1DAP,Residual,,,,,,,
earlyplanted,bottom,2023,403,4,21DAP,14DPP,Ctl,,,,,,,
earlyplanted,bottom,2023,404,4,21DAP,14DPP,Residual,,,,,,,
earlyplanted,bottom,2023,405,4,21DAP,NoCC,Ctl,,,,,,,
earlyplanted,bottom,2023,406,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,31.12,2093,
lateplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,25.66,1726,
lateplanted,.,2024,103,1,21DAP,14DPP,Ctl,,124,1240,,24.86,1672,
lateplanted,.,2024,104,1,21DAP,14DPP,Residual,,252,2520,,26.24,1765,
lateplanted,.,2024,105,1,21DAP,1DAP,Ctl,,122,1220,,20.71,1393,
lateplanted,.,2024,106,1,21DAP,1DAP,Residual,,38,380,,20.11,1352,
lateplanted,.,2024,201,2,21DAP,1DAP,Ctl,,149,1490,,32.45,2182,
lateplanted,.,2024,202,2,21DAP,1DAP,Residual,,133,1330,,32.49,2185,
lateplanted,.,2024,203,2,21DAP,NoCC,Residual,,,,,29.59,1990,
lateplanted,.,2024,204,2,21DAP,NoCC,Ctl,,,,,29.38,1976,
lateplanted,.,2024,205,2,21DAP,14DPP,Residual,,134,1340,,28.73,1932,
lateplanted,.,2024,206,2,21DAP,14DPP,Ctl,,201,2010,,26.7,1796,
lateplanted,.,2024,301,3,21DAP,1DAP,Ctl,,176,1760,,36.56,2459,
lateplanted,.,2024,302,3,21DAP,1DAP,Residual,,188,1880,,24.71,1662,
lateplanted,.,2024,303,3,21DAP,14DPP,Ctl,,309,3090,,22.13,1488,
lateplanted,.,2024,304,3,21DAP,14DPP,Residual,,223,2230,,30.27,2036,
lateplanted,.,2024,305,3,21DAP,NoCC,Ctl,,,,,34.18,2299,
lateplanted,.,2024,306,3,21DAP,NoCC,Residual,,,,,22.07,1484,
lateplanted,.,2024,401,4,21DAP,NoCC,Residual,,,,,25.11,1689,
lateplanted,.,2024,402,4,21DAP,NoCC,Ctl,,,,,37.87,2547,
lateplanted,.,2024,403,4,21DAP,14DPP,Residual,,230,2300,,53.87,3623,
lateplanted,.,2024,404,4,21DAP,14DPP,Ctl,,205,2050,,43.62,2933,
lateplanted,.,2024,405,4,21DAP,1DAP,Residual,,208,2080,,23.21,1561,
lateplanted,.,2024,406,4,21DAP,1DAP,Ctl,,253,2530,,32.39,2178,
lateplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,104,1,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,105,1,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,106,1,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,201,2,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,202,2,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,203,2,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,204,2,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,205,2,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,206,2,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,301,3,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,302,3,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,303,3,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,304,3,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,305,3,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,306,3,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,401,4,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,402,4,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,403,4,21DAP,14DPP,Residual,,,,,,,
lateplanted,.,2024,404,4,21DAP,14DPP,Ctl,,,,,,,
lateplanted,.,2024,405,4,21DAP,1DAP,Residual,,,,,,,
lateplanted,.,2024,406,4,21DAP,1DAP,Ctl,,,,,,,
lateplanted,.,2024,101,1,21DAP,NoCC,Ctl,,,,,,,
lateplanted,.,2024,102,1,21DAP,NoCC,Residual,,,,,,,
lateplanted,.,2024,103,1,21DAP,14DPP,Ctl,,,,,,,
